,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
  this one.   does that look,like,the right picture?    , Biochemistry Study Group ,SGR175SU123,S1,F,SU,NS,
"r sh- you know it'll come up and she'll be herself and, there's gotta, you gotta say something about",like,", you know pers- i think she'd she'd feel like she's down there you know and she'd feel like a part ", First Year Philosophy Seminar ,SEM475JU084,S13,M,JU,NS,
"  y- yeah, i'm not like, i",like,"she's  not pulling me to the front like, Nicky get up here (xx)   ", Astronomy Peer Tutorial ,OFC150MU042,S5,F,SU,NS,
" i don't_ it's, it's not that i_ when we're in class i_ and when people are talking, i'm starting to",like_,i i r- understand them now. so when like they're when like you'll go into a poem and we'll start tal, Intro to Poetry Office Hours ,OFC300JU149,S3,M,JU,NS,
  i think i think that just proves that he's the brain cuz li-,like,"when he says that you know since there's something thinking and since the, probably i mean and since", First Year Philosophy Seminar ,SEM475JU084,S11,M,JU,NRN,
"ity at all. and being like, submissive and quiet and like th- those are just things that you have to",like,"keep under the covers  literally,  and it's not, like i don't i don't know, i d"," Sex, Gender, and the Body Lecture ",LES565SU137,S14,F,JU,NS,
" passed and it made it illegal to, ship between state lines or across state lines. now this may seem",like,"a, fairly small and minor piece of legislation, but this was aimed at the market hunters who, uh cou", Biology of Birds Lecture ,LES175SU028,S1,F,SF,NS,
"ly that you hear if you hear more than one say you hear like many, of one particular type of bird or",like,"crows or something, cawing in the background it's hard to tell how many exactly there are.   ", Biology of Birds Discussion Section ,DIS175SU027,S5,F,SU,NS,
you talking about? i'm sorry.  ,like,"i don't understand how after translation,  how can M-R-N-A  encode something th", Intro Biology Study Group ,SGR175MU126,S5,F,JU,NS,
"  no you won't have an H.  when you have air  in between two different um,",like,"between two different plates, and they have different temperatures you know that air starts moving r", Heat and Mass Transfer Office Hours ,OFC195SU116,S1,M,JG,NRN,
   yeah i have um yeah i always use,like,", i translate how many  hours i  use from the cards and i always make it a litt", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"we'll be able to find more stuff. like i don't know it's gonna be hard, or it'll be funny to see how",like,"everyone else wrote theirs compared to everyone else and like, you know cuz it most likely won't fit", American Family Group Project Meeting ,SGR565SU144,S2,F,SU,NS,
ldn't   it's gonna be done just,like,"you have, two-nine- just like you did two-nineteen. or just like you did two-twenty. in terms of wha", Statistics Office Hours ,OFC575MU046,S1,F,JF,NS,
"   but there's a big  technical word for it that, where people",like,", not phantom limb i'm not talking about that. anyway people, because they have a lesion or or whate", Objectivism Student Group ,SGR999MX115,S4,F,SU,NS,
"Chicago last weekend, and i went in there to get a sandwich and they were like so expensive so i was",like,i just left. and it just looked really upsetting cuz like the area i was in was like this nice like , Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
 Stacey?   i think it's kind of,like,", two different things though like, what she was saying about like, the country and like not being a", Intro to American Politics Discussion Section ,DIS495JU119,S7,F,JU,NS,
"sense i mean, uh   or even just",like,"with, i mean i don't know about other Asian countries but, India just even state-wise it's so differ", Anthropology of American Cities Office Hours ,OFC115SU060,S6,F,SU,NS,
"osed to using, um, a form or a medium that was male constructed  (xx)  so she's",like,"going into athletics and being like, what does this mean to me and how does this help me, how does t"," Sex, Gender, and the Body Lecture ",LES565SU137,S15,F,JU,NS,
  (it doesn't,like,)  sociolinguistic tendencies    , Bilingualism Student Presentations ,STP355MG011,S5,F,SG,NRN,
"stood some things about the medical profession like, my parents' friends were all doctors i'd always",like,"interacted with them  and,  i really, i think i i really would enjoy that lifes", Honors Advising ,ADV700JU023,S3,F,JU,NS,
 ,like, you're inserting fragments so you only wanna look at like the specific plasmids that mig, Intro Biology Study Group ,SGR175MU126,S5,F,JU,NS,
"didn't think i did that well i thought i maybe got a B, on that cuz i didn't know it that well, it's",like,"you know hopefully a B. i got it back i was like, is this a percent  and he's like A.  ", Media Union Service Encounters ,SVC999MX104,S48,F,JU,NS,
eams  and such?   so,like,"  um,  right mental. ", Objectivism Student Group ,SGR999MX115,S5,M,JU,NS,
