,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
"way of doing things amongst like, younger um, college educated like, Chinese-owned businesses versus",like,"older ones and, like i guess i kinda wanna find out like, you know what the if there's like a if the", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"out how pornography was seen sometimes as, um a way of treating_ i know this is like a refer back to",like,"slavery, and how_ i'm sorry how, um, i- like putting women, like on a lower level like treating 'em_"," Sex, Gender, and the Body Lecture ",LES565SU137,S19,F,JU,NS,
most wonder if_ i don't know. like i was just gonna say i almost wonder if she didn't have a purpose,like,", called me last night and wanted to meet with me, so that it's like, you know she (wasn't coming) t", American Family Group Project Meeting ,SGR565SU144,S2,F,SU,NS,
"e the two numbers you get for the fitness with the cost functional, if it's not like it doesn't seem",like,it would be a comparable number scale so how can you say whether it's more or less fit?   , Physics Research Group Meeting ,MTG485SG142,S8,F,SG,NS,
"  the Old Testament like, ideally like, was supposed to be, you know the,",like,"Christian Scientists or like, churches like that, only use the Old Testament so like, it seems like ", English Composition Seminar ,SEM300MU100,S4,F,SU,NS,
"at you'd like to change, so if anyone has comments please feel free to send them to me, i won't ever",like,"be like oh, well you know... Liam thinks that,  it's stupid whe", Organic Chemistry Study Group ,SGR200JU125,S1,F,JU,NS,
   oh oh oh oh oh okay good i th- that's_ (i'm excited) i've ,like,read_ books i've read  Faulkner and that's the one with the  , Academic Advising ,ADV700JU047,S2,F,ST,NS,
   and this is,like,"it's gonna, happen at a like, pretty much simultaneously s- s- what these little dots are for. cuz o", Organic Chemistry Study Group ,SGR200JU125,S2,M,JU,NS,
    ,like,like  like here? you said use noisy noisy-or here?   , Computer Science Office Hours ,OFC270MG048,S7,M,SU,NNS,
    i made some,like,"dumb mistakes on the exam which is like, totally   ", Organic Chemistry Study Group ,SGR200JU125,S2,M,JU,NS,
a- the literature review and our observation sheets and our paper altogether in one of those and put,like,a cover page on top.   okay.  , American Family Group Project Meeting ,SGR565SU144,S1,F,SU,NS,
"news like the president has been decided, we just don't know who it is. ",like,", we have it  nailed down to two.     ", Organic Chemistry Study Group ,SGR200JU125,S1,F,JU,NS,
"l just use, two alleles.   well",like,"for, uh um, prokaryote it would be like two haploid cells right? where, it just, the difference from", Intro Biology Discussion Section ,DIS175JU081,S2,F,JU,NS,
actly they did it. but th- but i mean the one thing they're trying to do is they're trying to target,like,"residents and interns, to actually like you know really, really you know hammer the, mother especial", Teaching Biochemistry Student Presentations ,STP175SU141,S15,M,SU,NRN,
"- get_ nine ninety-five could be a B-minus, if everyone knows it so, it takes the emphasis away from",like,", you knowing it to like you concerned with if everyone else knows it, and it's, it does the opposit", Behavior Theory Management Lecture ,LEL185SU066,S7,F,SU,NS,
"at. like this can replicate again. you know what i mean and form like two more, cells that look just",like,that. you know what i mean? and it you don't know when it's gonna do that that's  the  , Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"a da da. and uh, it's like they sell like really expensive like nine ten dollar sandwiches there and",like,there's like the chef making the sandwiches they looked really good. the first time i saw it was whe, Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
   so that uh  that's not that picture.  i don't ,like,that picture as a matter of fact that picture may not be there... i think that picture's not there. , Economics Office Hours ,OFC280SU109,S2,F,JF,NS,
", just so it's like, i- kinda like a overview of all the observation sheets so she can_ so she's not",like,"bombarded with like,   yea", American Family Group Project Meeting ,SGR565SU144,S1,F,SU,NS,
"hought, wow like what if i have a kid, who just sits there and says i'm not proud of anything? and i",like,"i battled with that for, pretty much all week and ended up, i did put it in but what_ have you guys ", Multicultural Issues in Education Student Presentations ,STP285SU013,S10,F,SU,NS,
   well no but i can't even i can't e-,like,if um  you wanted to talk to me about a topic that i feel like i've had a lot of classes , Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
   see  you're really lucky cuz i feel,like,"C-K is like a s- a wall and you're like, i haven't done this and she doesn't give you any like she's", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"f L-S-D's quite long. so animals, will show, these kinds of behaviors for many many many hours. just",like,people wi- will report hallucinations for many many hours. but if you record from the serotonin cell, Drugs of Abuse Lecture ,LEL500SU088,S1,M,SF,NS,
   she  yeah well she does,like,those things once in a while just so she can say that you know.   , Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
" vegetatively. so, um a lot of these plants have, their water dispersed, and if parts fall off, from",like,"fragmentation of the willows, and also the cottonwood if, parts fall into the water, they can get wa", Spring Ecosystems Lecture ,LES425SU093,S3,F,SG,NS,
  i don't understand why it's okay to show accidental deaths but not suicides,like,", why is that their policy or whatever anyway?   ", Ethics Issues in Journalism Lecture ,LES220SU140,S18,F,SU,NS,
" least of origins were powerful, but these folkloric aspects. such as the long blond hair. um things",like,"that. and then and then, um, i mean for instance you could you could, you could build an essay let's", History Review Discussion Section ,DIS315JU101,S1,M,SF,NS,
"orality for all human beings, even if it's not by virtue of something we share with God, s- sounded,",like,"um, like for example it might be binding o- on so- someone who who doesn't  have  ", Philosophy Colloquium ,COL475MX082,S6,M,UN,NS,
t it?   yeah but still it's not,like,  it's not his title.   , Ethics Issues in Journalism Lecture ,LES220SU140,S2,F,SU,NS,
problem was. gotcha.   and then,like,", the two is K.   yeah. i see. ", Math Study Group ,SGR385SU057,S1,M,SU,NS,
"s versus like older ones and, like i guess i kinda wanna find out like, you know what the if there's",like,"a if the variables are like education or young you know,  how  old they are and", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
 knew she had two children and i'd say how did you do that? uh how did you_ tell me what your day is,like,"um and we would discuss issues like that. um, there was a new movement starting up uh the Women in S", Women in Science Conference Panel ,COL999MX040,S6,F,ST,NS,
ting them with water   you have,like,the smallest water gun though    , Freshman Orientation Tour ,TOU999JU030,S3,F,JU,NS,
"men that like make you think of, you know having sex or whatever, and if you consider that porn then",like,"part of porn could just be insinuating like, sexual things, but i think erotica maybe focuses more o"," Sex, Gender, and the Body Lecture ",LES565SU137,S6,F,SU,NS,
"n,) i was gonna say like i'm a little confused about beta cuz they don't really say much, they don't",like,"use that explicitly in the book but i know like, i know (come up over and over.)   ", Organic Chemistry Study Group ,SGR200JU125,S2,M,JU,NS,
this is the picture i remember it was like some like weird shape with like flags right? and it's got,like,D-N-A inside. right? and then it like inserts this D-N-A into the cell. but this outside is a protei, Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
  see i feel like i mean i like i actually,like,the class a lot    oh, Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"  and that's the trick, to adjust the weighting i guess so, um, you know you you",like,", you know you like the the weighting factor to be set so that, if you do have a r- a very good puls", Physics Research Group Meeting ,MTG485SG142,S2,M,SG,NS,
separated.   oh so,like,"go here, match if if it's if it's not_ if it's dependent go back here or like  dependent  ", Computer Science Office Hours ,OFC270MG048,S7,M,SU,NNS,
"r and she's like, everyone waits to the last minute to do their things then they come bitching at me",like,it's my fault. it's not my fault just start working on your stuff earlier. but like when you go to t, Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"  oh yeah, and i... i might even wanna, take a, astronomy course or something i, i",like,", i'm not a big fan of, and that's the thing with like the geology, i'm not a fan of chemistry and  ", Honors Advising ,ADV700JU023,S2,F,JU,NS,
"? couple, a- any people, and how many_ you wanna, wanna try that again? ",like,"three, nos, yeah.  okay, what about yeses?  ", First Year Philosophy Seminar ,SEM475JU084,S1,F,JF,NS,
"inking about like pagers and telephones now you got email Internet service, first it used to be just",like,the garage door opener (but) now they're smaller more compact digital you know what i mean?   , Principles in Sociology Lecture ,LEL565SU064,S6,F,SU,NS,
  like you know th- like you know in the citric acid cycle ,like," you know the arrows i thought that was, that what that was. i don't know cuz you know ho", Biochemistry Study Group ,SGR175SU123,S2,M,SU,NS,
"ective characters,   kinda",like,the (seeding of cage.) okay   and and give rise to  , Graduate Philosophy Seminar ,SEM475MX041,S1,M,SF,NS,
that i wanted to do and that i was used to being able to accomplish working in universities you know,like,"big huge, conferences and symposia where you bring this one and that one they just didn't, you know ", Career Planning and Placement Workshop ,COL999MG053,S4,F,SF,NS,
"think, MacKinnon's, well what she's pretty much saying is is that like, pornography is kinda showing",like,"a power structure that  like,  it's like, men with power women subordinate and "," Sex, Gender, and the Body Lecture ",LES565SU137,S4,F,SU,NS,
"ion has become cheaper now just because, it's, like with the_ there's not as m- like competition now",like,"how like, if Brazil, legalized, abortion like then maybe it would be made cheaper for the people the", Brazilian Studies Student Presentations ,STP545JU091,S8,F,JU,NS,
  U-of-M? okay.   yeah so,like,"um, i mean there's, i guess this is four-oh-two  macro-economics    ", Economics Office Hours ,OFC280SU109,S4,M,SU,NS,
"s, Rachel.   i guess this is in",like,", MacKinnon's comeback sort of for the um thing about, how it affects men badly, or maybe even more "," Sex, Gender, and the Body Lecture ",LES565SU137,S5,F,SU,NS,
" for tool development in terms of uh like, would my area would if you talk about observing behavior,",like,the best way to measure somebody's behavior is not to have them fill out a scale but to actually sen, Nursing Student Presentations ,STP450SG128,S3,F,SG,NS,
"   it would but, in some instances",like,"some markets might be_ have a higher demand than others. so that, i mean if you had better sales man", Behavior Theory Management Lecture ,LEL185SU066,S25,M,SU,NS,
y  express  hair things. your eye cells only express eye things.  and,like," but they all need to express like,  things like  D-N-A polymerase", Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"e,   yeah, they  were",like," in the coursepack like  for a tank, and for,  does di- oh did anyon", Chemical Engineering Group Project Meeting ,SGR195SU127,S2,F,SU,NS,
"d, um, and you know some of this ways they view African-Americans would fit into that too ",like," an awareness of the, spaces that Sugrue talks about of the sort of, dangerous, black spa", Anthropology of American Cities Office Hours ,OFC115SU060,S2,F,SG,NS,
"k you know, but i mean i don't know if i'd, does it make sense i have a faculty to do this i thought",like,"faculties were more, maybe, grouping abilities, into a faculty.   ", Objectivism Student Group ,SGR999MX115,S3,M,SG,NS,
"k my, proposal is called a market protocol for decentralized task allocation and scheduling. i would",like,"to start with a concrete example to really motivate the problem, i am addressing here. so, this is a", Artificial Intelligence Research Group Meeting ,MTG270SG049,S3,M,SG,NS,
" interesting is that usually, the sword of wisdom is just a regular sword and it cuts, like you know",like,diamond and so forth. this is a wooden sword i kinda like that. i think it's a good touch right?  , Graduate Buddhist Studies Seminar ,SEM140JG070,S1,M,SF,NRN,
"book you should know what you're doing so i think i'm doing pretty well in there. um, well enough to",like,"i mean i i'd probably i'd probably have to say somewhere around a B area. but uh, and that that's th", Intro to Poetry Office Hours ,OFC300JU149,S3,M,JU,NS,
"or no? like i mean like what i'm saying is like you know like let's say, let's say i'm really close.",like,"like i'm talking,  you know what i mean? like is there still a chanc", Academic Advising ,ADV700JU047,S4,M,JU,NS,
   it's not th- it doesn't look,like,there's any (stripes) on the breast.   , Biology of Birds Field Lab ,LAB175SU026,SU-m,M,SU,NS,
" see X is the Y of Z. did they they run through those things? like um, uh ",like,"uh... Grgich Hills is the, Chateau Mouton Rothschild of California wines. so you've got three things", Linguistics Independent Study Advising ,OFC355SU094,S1,M,SF,NS,
"t's a, a type of interpretation, but not the same as scripture and also like what about, the role of",like,"commentarial traditions and stuff like, when you're talking about textuality, in, in a Christian sen", Graduate Buddhist Studies Seminar ,SEM140JG070,S2,F,SG,NS,
st like using the cell to produce more of  itself  and then it leaves. it's not,like,taking over it's like joining in the circle ever. but like this one is in the circle. it's not like , Intro Biology Study Group ,SGR175MU126,S4,F,SU,NS,
"  huh. my throat hurts on this side but it's a different kind of hurt, it's",like,pain. under here   i'm afraid t, Math Study Group ,SGR385SU057,S2,F,SU,NS,
e maybe i don't know um i mean i think that you know a lot more about ac- like Detroit than i do and,like,"things going on there and like,  i don't know.    ", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
 on the front.  i don't have the other sheets though that's okay isn't it?,like,"i just all my notes are, on the observation sheets now though.   ", American Family Group Project Meeting ,SGR565SU144,S5,F,SU,NS,
happening  here?  are these people good Christians? right that the pregn- she's,like,nine months pregnant all the imagery she's slow (xx) it's been like ten fifteen years since i read t, Academic Advising ,ADV700JU047,S2,F,ST,NS,
ally when you have a um bacterial disease the phagocytes come and eat it up right? but um it kind of,like,"flows low under the radar, because it has this M protein the certain strand_ the like the two, um vi", Teaching Biochemistry Student Presentations ,STP175SU141,S13,M,SU,NS,
 of observations you have.   so,like,how many pairs  we have.    , Statistics Office Hours ,OFC575MU046,S9,F,SU,NS,
Spottail? or a Common   looks,like,"a_ i think it's, a Common, but it's got this spot tail.   ", Biology of Fishes Field Lab ,LAB175SU032,SU-f,F,UN,NS,
     genes it's,like,it's everything that we talk  about after.   , Intro Biology Study Group ,SGR175MU126,S5,F,JU,NS,
e that.   okay so it's sounding,like,"good diversity creative writing math, film okay   ", Academic Advising ,ADV700JU047,S2,F,ST,NS,
" Union, West Quad,  (looks exactly",like,)  Thompson Street Thompson Street parking structure. this is currently used as grade level par, Architecture Critiques ,STP125JG050,SU-m,M,UN,NS,
"really but, give me a minute i'll come back to it but,  as lon-",like,"i was saying as long as you can justify it, it's okay. like, i don't think, over time, there's been ", Intro Anthropology Discussion Section ,DIS115JU087,S2,M,JU,NS,
" is where you have, a carbocation, carbocation. every- s- such ",like,a debate about  cation  or cation.  , Organic Chemistry Study Group ,SGR200JU125,S2,M,JU,NS,
"w it was, i mean i was, already an astronomy major by then. i was just taking it for fun you know so",like,"i was pretty far ahead most of my class so i was really kinda bored. i mean it was cool, you know cu", Astronomy Peer Tutorial ,OFC150MU042,S5,F,SU,NS,
   i personally don't even  i don't,like,her poetry.  i'm gonna say it.   , Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"ike um everything that we've read for this class like i think there's been, like i'm not really sat-",like,this is probably the thing that i've liked the most so far and like the other things like i've been , Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
t?   teaching you diversity and,like,"opening w- what school should do is like, open your mind to like, different cultures different types", Intro to American Politics Discussion Section ,DIS495JU119,S8,F,JU,NS,
" is that?   because, there's it",like,"maybe they're really into the environment or whatever.  but  they and they, the", Intro to American Politics Discussion Section ,DIS495JU119,S5,M,JU,NS,
"  i think these are just like different like designations but like, it represents",like,", this could be the same as that  they just have a different number    ", Biochemistry Study Group ,SGR175SU123,S2,M,SU,NS,
"ene. you can actually move it quite a distance. there is, um, a discussion in your textbook that i'd",like,"you to read, um, i'm not gonna go into it cuz i don't think i'm gonna have time, and it talks about,", Microbial Genetics Lecture ,LES175SU079,S1,F,JF,NS,
"   my fragments are going to be different right than yours.  and so,",like,"if like let's say, there was a crime, okay  and like, me and you were su", Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"utinely went across long distances and, exchanged things and and made profits and so on. so it's not",like,", the whole concept of that kind of trade is new. what's new is the scale. is that the entire market", Principles in Sociology Lecture ,LEL565SU064,S1,M,JF,NRN,
"cent wage increases to the people that stay next year? right after having, asked me politely would i",like,"to leave in exchange for a small, subsidy, this year, are they likely to offer me the big bucks as a", Labor Economics Lecture ,LES280JG138,S1,M,SF,NS,
"down to the poor class, basically the poor get nothing. um, now we'll move on to AIDS in Brazil, um,",like,"we mentioned in that first quote, um at which the health care system is directly responsible for, um", Brazilian Studies Student Presentations ,STP545JU091,S3,M,JU,NS,
n) L-P    ,like,what is  fingerprinting  (xx)    , Intro Biology Study Group ,SGR175MU126,S5,F,JU,NS,
"is it would be more likely to be about, like the actual, like less than metaphorical sense. you know",like,"he was using all these metaphors to describe, like sexual relations but, it's probably less likely t", Women in the Bible Lecture ,LES605SU080,S10,F,JU,NS,
ive   sounds to me,like,"Math one-eighty-five, either Great Books or Classical Civilization,   ", Honors Advising ,ADV700JU023,S1,F,ST,NRN,
hat pachypoda means?   sounds,like,pachyderm.  like it    , Spring Ecosystems Lecture ,LES425SU093,SU-m,M,UN,NS,
de that it started from. so everything on like_ and then this is where it ends. right?  so,like," here are the bigger fragments, and those are the smaller  fragments.  ", Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"is there to be celebrated about the establishment of a powerful, kingdom or a powerful state. so i'd",like,you to construct a conversation between Djeliba and Mabo on this issue.  as they, African History Lecture ,LES315SU129,S1,M,SF,NS,
"e able to find a thread that gives you a sense of_ here's one. here's one here see, this? that looks",like,"it's come loose out of its wrapping, so you might want to, take a close look at this. see if you can", Art History Office Hours ,OFC320SU153,S1,F,JF,NS,
 time  i put into it. or like looking in  bibliographies and  going_,like,it was very a- weird that this woman was asking me  that.  , Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
"least from my understanding would be more something like you'd see in like Maxim or like, even Cosmo",like,", women in sexual positions but it's not necessarily like, objec- well i mean i guess it is to a poi"," Sex, Gender, and the Body Lecture ",LES565SU137,S4,F,SU,NS,
uid  (of the plume)  which is X-W and you're gonna end up with graphs that look,like,"that  kinda,  and then you have to go from like certain values, you know that y", Heat and Mass Transfer Office Hours ,OFC195SU116,S19,F,SU,NS,
" somebody surprised me with tickets and we had front row. so um, ah it was it was really bad because",like,"they uh, we thought the show started at eight, and, it started at_ or we thought it it started thoug", American Culture Advising ,OFC105SU068,S1,M,SU,NS,
" and stuff so i send her like these folders home i'm like mom here, she's like what is this? and i'm",like,i don't know.  uh oh.   , English Composition Seminar ,SEM300MU100,S2,F,JU,NS,
" i know it's like, it breaks down fatty acids but like, how is it related to like the citric acid it",like,feeds to the citric a- acid cycle   , Biochemistry Study Group ,SGR175SU123,S2,M,SU,NS,
"  and then um, the one that she f- or you know she hates her job or whatever and she's",like,", everyone waits to the last minute to do their things then they come bitching at me like it's my fa", Senior Thesis Study Group ,SGR999SU146,S3,F,SU,NS,
"  there was this, th- this project was,",like,", i liked it it's  (xx)  (xx) i liked, the very strong international component ",Graduate Student Research Interview 2,INT425JG002,S1,M,JG,NNS,
" wanted, yeah all i'm saying is,  okay let's c- i know consciousness  has a ba-",like,"a lot of baggage since, you, you're exposed to different meaning of consciousness so i mean  ", Objectivism Student Group ,SGR999MX115,S1,M,SG,NS,
"of events, and with every event, in this cascade, there has to be regulation. with every event. just",like,", glycolysis you couldn't just have one bypass at the front. you have to be able to re- regulate eve", Intro to Biochemistry Lecture ,LEL175SU098,S1,F,JF,NS,
"  it's this,  yeah that's Nusselt so you, you just have to multiply it by K over L",like,this to get the H.   , Heat and Mass Transfer Office Hours ,OFC195SU116,S15,M,SU,NS,
"  do you know um, a magazine here that this is like, like,",like,? yeah like  parallel to?    , Brazilian Studies Student Presentations ,STP545JU091,SU-f,F,JU,NS,
"   i did a lot  of the writing, last night",like,she was online looking for articles. you know.   , American Family Group Project Meeting ,SGR565SU144,S2,F,SU,NS,
"n the order primates. an order that we share with, prosimians, you know what a prosimian is? they're",like,"lemurs. have you ever seen, lemurs in the zoo? they have they're tiny little animals,  ", Race and Human Evolution Lecture ,LEL115SU107,S1,F,JF,NS,
ave one of those   ,like,a ladder     , Biology of Fishes Field Lab ,LAB175SU032,SU-m,M,UN,NS,
"tillate composition.  ho-  so for like both of those methods, it's almost kinda",like,"guess and check like you gotta draw a bunch of different operating lines  and stuff,  ", Heat and Mass Transfer Office Hours ,OFC195SU116,S19,F,SU,NS,
" think about it and it's so obvious um but if you never make the connection um, it's so_ i was kinda",like,wondering why you know i never did it but... but then again no one else ever made the connection too,Graduate Student Research Interview 1,INT425JG001,S2,M,JG,NS,
"different types of pornographic videos and there's like, there's like for Asian girls and ",like,"Asian girls  are quiet and they're you know they're soft and they're pretty and they're, "," Sex, Gender, and the Body Lecture ",LES565SU137,S14,F,JU,NS,
"ke (xx)   mass of the earth, is",like,", six times ten to the twenty-fourth so just plug that in there you know G okay? does that make sens", Astronomy Peer Tutorial ,OFC150MU042,S1,F,SU,NS,
  yeah   we get more,like,", a little over a millijoule right  now i think    ", Physics Research Group Meeting ,MTG485SG142,S3,M,JG,NS,
"  of  like i i to use the word like kinky manner, in like  (you know more)",like,",     oh i"," Sex, Gender, and the Body Lecture ",LES565SU137,S11,F,SU,NS,
  i guess it depends on why maybe you get a divorce. like if it's a sudden thing,like,"oh you had an affair, or if it's been like building like,  growing apart  or so", American Family Group Project Meeting ,SGR565SU144,S1,F,SU,NS,
"'t give them grades it's like,  you did it or you didn't. unless you know it'd be kind of",like,"zero if you didn't. uh plus which is what most people got and and then you might get a a check, you ", Archeology of Modern American Life Lecture ,LES115MU151,S1,F,SG,NS,
" whole thing starts it is so live. people are jumping on the table people are trying to study, going",like,this because there's naked people in there  dancing next to the, Freshman Orientation Tour ,TOU999JU030,S1,M,SU,NS,
"tching and, the  ando  is the, the continuous gerund form in Spanish you you have",like,  flippeando...  like flipping  f, Bilingualism Student Presentations ,STP355MG011,S6,F,SG,NNS,
"  so i'm i'm  also like i'm afraid, like if i'm ",like,    do  , American Culture Advising ,OFC105SU068,S1,M,SU,NS,
"  well, i'm sitting here, right after this i'm gonna start doing some homework you know, stuff",like,"that, cool things like that    ", Astronomy Peer Tutorial ,OFC150MU042,S1,F,SU,NS,
"s into darkness once again, and look at this new code called prime loop. or prime loops or something",like,that.  okay all the standard garbage include standard I-O start main someh, Intro Engineering Lecture ,LEL295JU035,S1,M,SF,NS,
"  i don't know if she's gonna, i'm sure she'll pay me for it i bet if Frank knew that he'd be",like,no you can't do it.  it seems so but she might be like well can, Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
"he truth and that was the power of her book.  so, that fact that she is, um, that she is like,",like,"everybody else that she's not, she's not an other. she's not different. um, makes her, a a easier, t", Perspectives on the Holocaust Lecture ,LEL542SU096,S1,F,JF,NRN,
"ons but it's not necessarily like, objec- well i mean i guess it is to a point but it's not, so much",like,"degrading or such but it's more like, i don't know like i read something like pornography is really "," Sex, Gender, and the Body Lecture ",LES565SU137,S4,F,SU,NS,
" minutes behind, i may have to wait and do that on Thursday. so again to (xx) assist me what i would",like,"you to do is uh, uh keep more or less the same seats you had uh a couple of weeks ago or a week and ", Dynamic Earth Lecture ,LES305MU108,S1,M,SF,NNS,
 goes into the cell and it's using it's polymerases to make more of it and then it leaves. it's just,like,using the cell to produce more of  itself  and then it leaves. it's not like ta, Intro Biology Study Group ,SGR175MU126,S4,F,SU,NS,
"ust do it, you know off, you know save it on my hard drive and then,  so then, ",like,"either they can save it, like he was saying that a lotta people don't like to s- you know save it on", Politics of Higher Education ,SEM495SU111,S3,F,SU,NS,
"  um, another thing is like y- you listen, to like you just hear your parents talking",like,", to other people and in conversation and, you, kind of just believe that everything they say is cor", Intro to American Politics Discussion Section ,DIS495JU119,S15,F,JU,NS,
" it's like a, a a way that people can approach the Holocaust without having to approach, some of the",like,", specific and actual, graphic like, it's like a P-G rated version  ", Perspectives on the Holocaust Lecture ,LEL542SU096,S9,M,SU,NS,
   cuz then  remember the one at the end was,like,", i know that you're in there and   ", First Year Philosophy Seminar ,SEM475JU084,S4,F,JU,NS,
"precipitate formation. and you'll see on your prelab for the lab coming up experiment two, questions",like,this on the use of reference blanks. and by the way that prelab is due when you show up at your labo, Inorganic Chemistry Lecture ,LEL200JU105,S1,F,JF,NS,
  i mean i don't_ i just  think that  i don't,like,know    ," Sex, Gender, and the Body Lecture ",LES565SU137,S6,F,SU,NS,
" but then we went on to, in terms of Louis and Charlemagne, um, where the king has, the king is more",like,"of a actual, power figure himself, um, and that this is, although it's in a time of of deep feudalis", History Review Discussion Section ,DIS315JU101,S5,F,JU,NS,
"ut they were, uh virtually not observant. they they did um, exchange presents at Hanukkah and things",like,"that but they were, they were not religious at all. um  how could even the most ", Perspectives on the Holocaust Lecture ,LEL542SU096,S1,F,JF,NRN,
  how come you came up to the BioStation?,like,wh-   hm?   , Biology of Birds Field Lab ,LAB175SU026,SU-f,F,SU,NS,
"   did, did you look?  cuz sometimes in the C-R-C it'll show,",like,it dissolves in if you add hydrochloric acid or something  like that  did you l, Chemistry Lab ,LAB200JU018,S1,F,JU,NS,
"   d- do you reme- you didn't see  that part? okay, so,",like,it was just really funny like he gets in a fight with a monkey other people are talking outside and , Astronomy Peer Tutorial ,OFC150MU042,S1,F,SU,NS,
   what  does that look,like,then?   then that looks like f, Heat and Mass Transfer Office Hours ,OFC195SU116,S1,M,JG,NRN,
" genome to the other part of the genome. do you know what i mean? like, that i- maybe it's a sort of",like,"maybe he's like indirectly talking about um, like the lysogenic versus lytic cycle. do you know what", Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"de it easier to grasp, exactly what was going on cuz, there's been some other ones where it was just",like,", i read the whole thing and i was like,  what was the point of? what di", First Year Philosophy Seminar ,SEM475JU084,S10,F,JU,NS,
"   well um  well, i don't know if_ i i think this would help is",like,"men treat women as whom they see women as being  like,   and that i"," Sex, Gender, and the Body Lecture ",LES565SU137,S3,F,SU,NS,
o     it's,like,a little  piece of D-N-A  i think    , Intro Biology Study Group ,SGR175MU126,S4,F,SU,NS,
"cially not, short term  but,  like i think that her approach to things would be",like,"much more um, like eventual like, well like an eventual means to an end rather than just like, i i w"," Sex, Gender, and the Body Lecture ",LES565SU137,S9,F,JU,NS,
 t- were tested on the starlings. you shouldn't_ you don't need to look. those were those birds with,like,"the, uh o- a- oil spill on the back. we were just tested on 'em. the European Starlings. with the ye", Biology of Birds Field Lab ,LAB175SU026,SU-f,F,SU,NS,
  i really like how she says this problem set contains a total of four problems. it's,like,"no. four times two plus one, problems.   ", Math Study Group ,SGR385SU057,S2,F,SU,NS,
"like weirdo stuff   yeah, i was",like,"yeah, whatever she's playing i_ as long as i can find the beat i don't care  ", Astronomy Peer Tutorial ,OFC150MU042,S5,F,SU,NS,
   yeah i asked my dad  that,like,why most people_ but he said something that um the U-S was looked at as a better place to go to that, Anthropology of American Cities Office Hours ,OFC115SU060,S6,F,SU,NS,
" the p- uh the poets it  seemed  to be that's where i kind of, i wouldn't say i",like,l- think i like stopped understanding as much but it seemed like the poems got harder. it's just it , Intro to Poetry Office Hours ,OFC300JU149,S3,M,JU,NS,
     (i just,like,")  the hummus, tomato salt pepper lettuce.   ", Biology of Fishes Field Lab ,LAB175SU032,SU-f,F,UN,NS,
  you know lotsa good stuff about Detroit city government? you hear things,like,"Detroit public schools are a mess you hear things like, they can't even shovel snow in Detroit.  ", Intro to American Politics Discussion Section ,DIS495JU119,S1,F,SG,NS,
"n seventy-eight in Ma- in like Massachusetts, or in New England, um, and it was in May. or something",like,"that. yeah it was in May, which so it's really unusual, and i guess the snowdrifts were u- it was li", Cognitive Psychology Research Lab ,LAB500SU089,S9,F,SU,NS,
"u've seen the video it's like, four guys you know a- i i have the C-D so, i mean i was just thinking",like,", what's that saying? but, um it's like four guys in the video they're just surrounded by all these ", Black Media Student Presentations ,STP095SU139,S2,F,SU,NS,
"  it had a population in seventeen-seventy of thirty-five thousand. which, doesn't sound",like,very much now right? what's the population of Ann Arbor?   , Archeology of Modern American Life Lecture ,LES115MU151,S1,F,SG,NS,
"hat like, pornography is kinda showing like a power structure that  like,  it's",like,", men with power women subordinate and submissive,  and so  like that in itself"," Sex, Gender, and the Body Lecture ",LES565SU137,S4,F,SU,NS,
"as the family hominidae. and then for people like, who are, sort of old and conservative, they don't",like,"cal- they don't like changing their names, you know? (they've) been calling 'em hominids all their l", Race and Human Evolution Lecture ,LEL115SU107,S1,F,JF,NS,
"  does it go inside or outside if i'm just quoting, the word? is it",like,"this? or is it, this?   hmm. i", Media Union Service Encounters ,SVC999MX104,S48,F,JU,NS,
  mm.  we didn't get anywhere,like,this when we were here last time.   , Biology of Fishes Field Lab ,LAB175SU032,S1,M,SF,NSO,
"rness.   well um, first of all,",like,"like i was saying before, if you wanna look at simply the particular crimes being committed that's g", Graduate Public Policy Seminar ,SEM340JG072,S4,M,JG,NS,
" fourty-eight but more that he just, was obsessed with the idea of having like complete control over",like,"the urban space right? um not so much in reaction to, a possible revolt but just preventing it just,", Graduate French Cinema Seminar ,SEM545MG083,S1,F,JG,NS,
